Products / Services,Primary Category (Products/Services Keywords),Secondary Category Keywords,First Detected (Timeline Start),Expansion Phase,Current Stage,Company
"Qualcomm Snapdragon AI","AI Hardware","Edge AI","Q3 2018","Scaling","2",""
"CUDA AI Platform","AI Infrastructure","GPU computing","Q2 2007","Established","3",""
"Intel AI Software Stack","AI Infrastructure","AI frameworks","Q2 2019","Scaling","2",""
"ROCm AI Platform","AI Infrastructure","GPU computing","Q4 2016","Pioneering","1",""
"Arm AI Compute Platform","AI Infrastructure","Semiconductor AI","Q3 2017","Pioneering","1",""
"Wipro HOLMES AI","Artificial Intelligence","Automation platform","Q3 2016","Established","3",""
"IBM Watson","Artificial Intelligence","NLP, AI analytics","Q1 2011","Scaling","2",""
"Tesla Autopilot","Artificial Intelligence","Autonomous Driving","Q4 2015","Scaling","2",""
"ByteDance AI Platform","Artificial Intelligence","Recommendation algorithms","Q1 2016","Scaling","2",""
"TikTok AI Recommendation Engine","Artificial Intelligence","Content personalization","Q3 2016","Scaling","2",""
"Cognizant Neuro AI","Artificial Intelligence","AI analytics","Q2 2016","Scaling","2",""
"Deloitte AI Platform","Artificial Intelligence","Enterprise analytics","Q2 2017","Scaling","2",""
"Meta AI Infrastructure","Artificial Intelligence","LLMs, AI compute","Q1 2013","Pioneering","1",""
"TCS BaNCS","Banking Platform","Digital banking","Q2 2003","Scaling","2",""
"Binance Exchange","Blockchain","Crypto trading","Q3 2017","Scaling","2",""
"Coinbase Crypto Platform","Blockchain","Crypto exchange","Q2 2012","Scaling","2",""
"RippleNet","Blockchain Payments","Cross-border payments","Q4 2012","Established","3",""
"USDC Platform","Blockchain Payments","Stablecoin infrastructure","Q3 2018","Scaling","2",""
"Salesforce CRM","CRM Platform","Sales automation","Q1 1999","Established","3",""
"AWS Cloud Services","Cloud Infrastructure","EC2, S3, Serverless","Q1 2006","Dominant","4",""
"Azure Cloud Platform","Cloud Infrastructure","IaaS, Kubernetes, Compute","Q1 2010","Dominant","4",""
"Google Cloud Platform","Cloud Infrastructure","BigQuery, AI Platform","Q4 2008","Established","3",""
"Alibaba Cloud","Cloud Infrastructure","Cloud compute","Q3 2009","Established","3",""
"Tencent Cloud","Cloud Infrastructure","AI cloud","Q1 2013","Established","3",""
"Oracle Cloud Infrastructure","Cloud Infrastructure","Database cloud","Q4 2016","Established","3",""
"VW Cloud Platform","Cloud Infrastructure","Automotive cloud","Q2 2020","Scaling","2",""
"Dell Apex Cloud","Cloud Infrastructure","Hybrid cloud","Q2 2021","Scaling","2",""
"Broadcom VMware Solutions","Cloud Infrastructure","Virtualization","Q4 1998","Pioneering","1",""
"Infosys Cobalt","Cloud Platform","Multi-cloud services","Q2 2021","Scaling","2",""
"Prisma Cloud","Cloud Security","Cloud workload protection","Q3 2019","Scaling","2",""
"HCL CloudSmart","Cloud Services","Hybrid cloud","Q3 2019","Scaling","2",""
"Accenture Cloud First","Cloud Services","Cloud transformation","Q2 2020","Scaling","2",""
"PwC Cloud & Digital","Cloud Services","Business modernization","Q2 2016","Scaling","2",""
"Dropbox Cloud Storage","Cloud Storage","File sync","Q3 2007","Established","3",""
"Seagate Lyve Cloud","Cloud Storage","Data management","Q2 2021","Scaling","2",""
"Zoom Video Platform","Collaboration Tools","Virtual meetings","Q1 2013","Scaling","2",""
"Webex Collaboration","Collaboration Tools","Video conferencing","Q4 1995","Scaling","2",""
"Box Content Cloud","Content Management","Enterprise file management","Q3 2005","Established","3",""
"Fortinet Security Fabric","Cybersecurity","Network security","Q1 2016","Established","3",""
"Falcon Security Platform","Cybersecurity","Endpoint protection","Q1 2013","Scaling","2",""
"Zscaler Zero Trust Exchange","Cybersecurity","Zero trust networking","Q4 2018","Scaling","2",""
"Splunk Observability Cloud","Data Analytics","Log analytics","Q2 2019","Established","3",""
